Year,District_yield,Zone,Season,Season_Months,Latitude,Longitude,Avg_Temperature_C,Min_Temperature_C,Max_Temperature_C,Total_Rainfall_mm,Rainy_Days,Avg_Humidity_Percent,Wind_Speed_kmph,Sunshine_Hours_per_Day,Water_Availability_Index,Soil_Quality_Index,Fertilizer_NPK_kg_per_ha,Pesticide_Sprays,Rice_Yield_kg_per_ha,Cost_INR_per_ha,Market_Price_INR_per_kg,Revenue_INR_per_ha,Profit_INR_per_ha,Profit_Margin_Percent,Drought_Risk,Flood_Risk,Heat_Stress,Month,District_climate,Temperature_C,Rainfall_mm,Humidity_%,WindSpeed_kmph,SoilMoisture_%,CropYield_Index
2017,Thanjavur,Delta,Kuruvai,Jun-Sep,10.79,79.13,30.6,26.13,36.39,327.36,45,76.12,15.03,6.04,0.73,0.92,139.5,4,2000.0,27682.68,23.28,46559.99,18877.31,68.19,1,0,0,March,Thanjavur,31.32,245.58,58.55,20.25,25.44,122.09
2017,Thanjavur,Delta,Kuruvai,Jun-Sep,10.79,79.13,30.6,26.13,36.39,327.36,45,76.12,15.03,6.04,0.73,0.92,139.5,4,2000.0,27682.68,23.28,46559.99,18877.31,68.19,1,0,0,January,Thanjavur,26.74,21.47,42.2,13.73,40.35,82.17
2017,Thanjavur,Delta,Kuruvai,Jun-Sep,10.79,79.13,30.6,26.13,36.39,327.36,45,76.12,15.03,6.04,0.73,0.92,139.5,4,2000.0,27682.68,23.28,46559.99,18877.31,68.19,1,0,0,September,Thanjavur,35.37,547.94,92.12,7.96,24.34,65.83
2017,Thanjavur,Delta,Kuruvai,Jun-Sep,10.79,79.13,30.6,26.13,36.39,327.36,45,76.12,15.03,6.04,0.73,0.92,139.5,4,2000.0,27682.68,23.28,46559.99,18877.31,68.19,1,0,0,July,Thanjavur,28.27,208.19,66.62,19.65,74.8,95.89
2017,Thanjavur,Delta,Kuruvai,Jun-Sep,10.79,79.13,30.6,26.13,36.39,327.36,45,76.12,15.03,6.04,0.73,0.92,139.5,4,2000.0,27682.68,23.28,46559.99,18877.31,68.19,1,0,0,June,Thanjavur,38.49,106.3,41.8,20.91,28.27,146.88
2017,Thanjavur,Delta,Kuruvai,Jun-Sep,10.79,79.13,30.6,26.13,36.39,327.36,45,76.12,15.03,6.04,0.73,0.92,139.5,4,2000.0,27682.68,23.28,46559.99,18877.31,68.19,1,0,0,August,Thanjavur,31.76,530.04,49.88,22.21,55.13,96.1
2017,Thanjavur,Delta,Kuruvai,Jun-Sep,10.79,79.13,30.6,26.13,36.39,327.36,45,76.12,15.03,6.04,0.73,0.92,139.5,4,2000.0,27682.68,23.28,46559.99,18877.31,68.19,1,0,0,June,Thanjavur,36.16,358.38,94.49,3.5,37.42,136.93
2017,Thanjavur,Delta,Kuruvai,Jun-Sep,10.79,79.13,30.6,26.13,36.39,327.36,45,76.12,15.03,6.04,0.73,0.92,139.5,4,2000.0,27682.68,23.28,46559.99,18877.31,68.19,1,0,0,February,Thanjavur,23.11,457.32,90.7,14.02,63.61,110.66
2017,Thanjavur,Delta,Kuruvai,Jun-Sep,10.79,79.13,30.6,26.13,36.39,327.36,45,76.12,15.03,6.04,0.73,0.92,139.5,4,2000.0,27682.68,23.28,46559.99,18877.31,68.19,1,0,0,October,Thanjavur,20.26,581.48,64.58,15.0,85.28,53.74
2017,Thanjavur,Delta,Kuruvai,Jun-Sep,10.79,79.13,30.6,26.13,36.39,327.36,45,76.12,15.03,6.04,0.73,0.92,139.5,4,2000.0,27682.68,23.28,46559.99,18877.31,68.19,1,0,0,December,Thanjavur,35.05,314.15,69.76,15.88,57.19,93.18
